source_study,target_study,text1,text2,cosine,rank,mrr,r@1,r@3,r@5,r@10
adni,nacc,Volume (Cortical Parcellation) of Left Perical carine,Left pericalcarine gray matter volume (cc),0.70827,53,0.018867925,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Precentral,Left precentral gray matter volume (cc),0.71552,53,0.018867925,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Superior Frontat,Right superior frontal gray matter volume (cc),0.72236,53,0.018867925,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Posterior Cingulate,Right posterior cingulate gray matter volume (cc),0.74051,53,0.018867925,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) o Left Transverse Temporal,Left transverse temporal gray matter volume (cc),0.70959,53,0.018867925,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of right Fusiform,Right fusiform gray matter volume (cc),0.73632,52,0.019230769,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Precentral,Right precentral gray matter volume (cc),0.72688,52,0.019230769,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Rostral Middle Frontal,Left rostral middle frontal gray matter volume (cc),0.7364,52,0.019230769,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Right Lingual,Right lingual gray matter volume (cc),0.71197,52,0.019230769,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of  Right Entorightinal,Right entorhinal mean cortical thickness (mm),0.76161,52,0.019230769,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Fusiform,Left fusiform gray matter volume (cc),0.73171,51,0.019607843,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Rostral Middle Frontal,Right rostral middle frontal gray matter volume (cc),0.74894,51,0.019607843,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation)  Left Lingual,Left lingual gray matter volume (cc),0.70376,51,0.019607843,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Inferior Parietal,Right inferior parietal gray matter volume (cc),0.75026,51,0.019607843,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Superior Frontal,Left superior frontal mean cortical thickness (mm),0.78613,51,0.019607843,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) o Right Transverse Temporal,Right transverse temporal gray matter volume (cc),0.72657,51,0.019607843,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Supramarginal,Right supramarginal gray matter volume (cc),0.75485,50,0.02,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Medial Orbitofrontal,Right medial orbitofrontal gray matter volume (cc),0.74929,50,0.02,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Postcentral,Right postcentral gray matter volume (cc),0.73862,50,0.02,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of RightInsula,Right insula gray matter volume (cc),0.74099,49,0.020408163,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) Left Insula,Left insula gray matter volume (cc),0.72393,49,0.020408163,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Rostral Anterior Cingulate,Left rostral anterior cingulate gray matter volume (cc),0.75341,49,0.020408163,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (WM Parcellation) of Csf,Total brain cerebrospinal fluid volume (cc),0.6406,49,0.020408163,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Inferiorparietal,Right inferior parietal mean cortical thickness (mm),0.79718,49,0.020408163,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Precuneus,Left precuneus gray matter volume (cc),0.75342,49,0.020408163,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Entorhinal,Left entorhinal gray matter volume (cc),0.75583,48,0.020833333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Postcentral,Left postcentral gray matter volume (cc),0.74578,48,0.020833333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Left Pars Orbitalis,Left pars orbitalis gray matter volume (cc),0.75177,48,0.020833333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Right Pars Orbitalis,Right pars orbitalis gray matter volume (cc),0.745,48,0.020833333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Inferiortemporal,Left inferior temporal mean cortical thickness (mm),0.7876,48,0.020833333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) o Right Precuneus,Right precuneus gray matter volume (cc),0.73024,48,0.020833333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Pericalcarine,Right pericalcarine gray matter volume (cc),0.76689,47,0.021276596,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Left Pars Opercularis,Left pars opercularis gray matter volume (cc),0.76014,47,0.021276596,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Right Pars Opercularis,Right pars opercularis gray matter volume (cc),0.75364,47,0.021276596,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Superiorparietal,Left superior parietal mean cortical thickness (mm),0.79581,47,0.021276596,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Entorhinal,Right entorhinal gray matter volume (cc),0.75516,46,0.02173913,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Left Supramarginal,Left supramarginal gray matter volume (cc),0.76282,46,0.02173913,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of Right Rostral Anterior Cingulate,Right rostral anterior cingulate gray matter volume (cc),0.75959,45,0.022222222,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Inferiorparietal,Left inferior parietal mean cortical thickness (mm),0.79504,45,0.022222222,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Lateraloccipital,Right lateral occipital mean cortical thickness (mm),0.80113,45,0.022222222,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Precentral,Left precentral mean cortical thickness (mm),0.78504,43,0.023255814,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Transverse Temporal,Left transverse temporal mean cortical thickness (mm),0.79776,42,0.023809524,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Left Pars Triangularis,Left pars triangularis gray matter volume (cc),0.77875,41,0.024390244,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (Cortical Parcellation) of  Right Pars Triangularis,Right pars triangularis gray matter volume (cc),0.76425,41,0.024390244,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Pericalcarine,Right pericalcarine mean cortical thickness (mm),0.80962,41,0.024390244,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Inferiortemporal,Right inferior temporal mean cortical thickness (mm),0.80273,40,0.025,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Superiorparietal,Right superior parietal mean cortical thickness (mm),0.81585,40,0.025,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Superior Temporal,Left superior temporal mean cortical thickness (mm),0.79389,39,0.025641026,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Parahippocampal,Right parahippocampal mean cortical thickness (mm),0.8096,36,0.027777778,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Pericalcarine,Left pericalcarine mean cortical thickness (mm),0.81044,36,0.027777778,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Caudal Middle Frontal,Left caudal middle frontal mean cortical thickness (mm),0.81225,35,0.028571429,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Lateraloccipital,Left lateral occipital mean cortical thickness (mm),0.81306,35,0.028571429,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Parsorbitalis,Right pars orbitalis mean cortical thickness (mm),0.7849,35,0.028571429,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Superiorfrontal,Right superior frontal mean cortical thickness (mm),0.81473,35,0.028571429,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Fusiform,Right fusiform mean cortical thickness (mm),0.79677,33,0.03030303,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Posterior Cingulate,Right posterior cingulate mean cortical thickness (mm),0.80812,33,0.03030303,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Postcentral,Left postcentral mean cortical thickness (mm),0.80668,30,0.033333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Posterior Cingulate,Left posterior cingulate mean cortical thickness (mm),0.81159,30,0.033333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Rostral Middle Frontal,Left rostral middle frontal mean cortical thickness (mm),0.81135,30,0.033333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (WM Parcellation) of Right Lateral Ventricle,Segmented right lateral ventricle volume (cc),0.75679,28,0.035714286,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Lingual,Right lingual mean cortical thickness (mm),0.79248,27,0.037037037,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Paracentral,Right paracentral mean cortical thickness (mm),0.8266,26,0.038461538,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (WM Parcellation) of Left Lateral Ventricle,Segmented left lateral ventricle volume (cc),0.75946,26,0.038461538,FALSE,FALSE,FALSE,FALSE
adni,nacc,Clinical Dementia Rating (CDR) scale (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Global CDR®,0.4439,25,0.04,FALSE,FALSE,FALSE,FALSE
adni,nacc,Clinical Dementia Rating (CDR) Orientation (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Orientation,0.41675,25,0.04,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Parsorbitalis,Left pars orbitalis mean cortical thickness (mm),0.79669,25,0.04,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of  Left Fusiform,Left fusiform mean cortical thickness (mm),0.80411,23,0.043478261,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Middle Temporal,Left middle temporal mean cortical thickness (mm),0.81255,23,0.043478261,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Precuneus,Left precuneus mean cortical thickness (mm),0.81238,22,0.045454545,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Superior Temporal,Right superior temporal mean cortical thickness (mm),0.83036,22,0.045454545,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Middle Temporal,Right middle temporal mean cortical thickness (mm),0.82644,20,0.05,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Postcentral,Right postcentral mean cortical thickness (mm),0.82021,20,0.05,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Precuneus,Right precuneus mean cortical thickness (mm),0.8233,20,0.05,FALSE,FALSE,FALSE,FALSE
adni,nacc,Smoking(1=Yes; 0=No),Average number of packs smoked per day,0.40291,20,0.05,FALSE,FALSE,FALSE,FALSE
adni,nacc,Participant Gender ( 1=Male;2=Female),Subject 's sex,0.41996,19,0.052631579,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Paracentral,Left paracentral mean cortical thickness (mm),0.83371,19,0.052631579,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Precentral,Right precentral mean cortical thickness (mm),0.81702,19,0.052631579,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Rostral Middle Frontal,Right rostral middle frontal mean cortical thickness (mm),0.82512,19,0.052631579,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Supramarginal,Left supramarginal mean cortical thickness (mm),0.8083,19,0.052631579,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Transverse Temporal,Right transverse temporal mean cortical thickness (mm),0.82388,19,0.052631579,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Lateralorbitofrontal,Right lateral orbitofrontal mean cortical thickness (mm),0.81623,17,0.058823529,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Isthmus Cingulate,Right isthmus cingulate mean cortical thickness (mm),0.82482,16,0.0625,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Rostral Anterior Cingulate,Right rostral anterior cingulate mean cortical thickness (mm),0.82263,16,0.0625,FALSE,FALSE,FALSE,FALSE
adni,nacc,Participant diagnosis,"Primary etiologic diagnosis (MCI); impaired, not MCI; or dementia",0.43247,15,0.066666667,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Cuneus,Right cuneus mean cortical thickness (mm),0.82139,15,0.066666667,FALSE,FALSE,FALSE,FALSE
adni,nacc,Volume (WM Parcellation) of Right Hippocampus,Segmented right hippocampus volume (cc),0.7642,15,0.066666667,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Medial Orbitofrontal,Right medial orbitofrontal mean cortical thickness (mm),0.82607,14,0.071428571,FALSE,FALSE,FALSE,FALSE
adni,nacc,Clinical Dementia Rating (CDR) Personal care (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Personal care,0.51229,13,0.076923077,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Parahippocampal,Left parahippocampal mean cortical thickness (mm),0.8367,13,0.076923077,FALSE,FALSE,FALSE,FALSE
adni,nacc,Clinical Dementia Rating (CDR) Home and hobbies (0.0=0.0;0.5=0.5;1.0=1.0;2.0=2.0;3.0=3.0),Home and hobbies,0.48476,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Writing checks, paying bills, balancing checkbook.","In the past four weeks, did the subject have any difficulty or need help with: Writing checks, paying bills, or balancing a checkbook",0.58474,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Assembling tax records, business affairs, or papers.","In the past four weeks, did the subject have any difficulty or need help with: Assembling tax records, business affairs, or other paper",0.61338,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Shopping alone for clothes, household necessities, or groceries.","In the past four weeks, did the subject have any difficulty or need help with: Shopping alone for clothes, household necessities, or groceries",0.59745,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Playing a game of skill, working on a hobby.","In the past four weeks, did the subject have any difficulty or need help with: Playing a game of skill such as bridge or chess, working on a hobby",0.60428,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Heating water, making a cup of coffee, turning off stove after use.","In the past four weeks, did the subject have any difficulty or need help with: Heating water, making a cup of coffee, turning off the stove",0.60976,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Functional Activities Questionnaire (FAQ) Keeping track of current events.,"In the past four weeks, did the subject have any difficulty or need help with: Keeping track of current events",0.54249,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Paying attention to, understanding, discussing TV, book, magazine.","In the past four weeks, did the subject have any difficulty or need help with: Paying attention to and understanding a TV program, book, or magazine",0.55879,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Remembering appointments, family occasions, holidays, medications.","In the past four weeks, did the subject have any difficulty or need help with: Remembering appointments, family occasions, holidays, medications",0.60753,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,"Functional Activities Questionnaire (FAQ) Traveling out of neighborhood, driving, arranging to take buses.","In the past four weeks, did the subject have any difficulty or need help with: Traveling out of the neighborhood, driving, or arranging to take public transportation",0.59198,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Lateralorbitofrontal,Left lateral orbitofrontal mean cortical thickness (mm),0.82998,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Rostral Anterior Cingulate,Left rostral anterior cingulate mean cortical thickness (mm),0.82457,12,0.083333333,FALSE,FALSE,FALSE,FALSE
adni,nacc,Clinical Dementia Rating (CDR) Community affairs,Community affairs,0.49223,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,nacc,Functional Activities Questionnaire (FAQ) Preparing a balanced meal.,"In the past four weeks, did the subject have any difficulty or need help with: Preparing a balanced meal",0.59936,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Caudal Anterior Cingulate,Left caudal anterior cingulate mean cortical thickness (mm),0.83714,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Right Caudal Anterior Cingulate,Right caudal anterior cingulate mean cortical thickness (mm),0.84014,11,0.090909091,FALSE,FALSE,FALSE,FALSE
adni,nacc,Cortical Thickness Average of Left Isthmus Cingulate,Left isthmus cingulate mean cortical thickness (mm),0.82689,11,0.090909091,FALSE,FALSE,FALSE,FALSE
